symbol,name,opinion_count,quality_score,enhanced_grade,enhanced_score,current_price,analysis_timestamp
005930,삼성전자,4,0,A+,53.0,78200.0,2025-09-17 20:17:35
000660,SK하이닉스,3,0,A+,67.61,333500.0,2025-09-17 20:17:35
373220,LG에너지솔루션,4,0,B+,28.015,350000.0,2025-09-17 20:17:35
207940,삼성바이오로직스,3,0,A+,61.21,1020000.0,2025-09-17 20:17:35
012450,한화에어로스페이스,19,0,A+,48.0,1030000.0,2025-09-17 20:17:35
105560,KB금융,25,0,A+,42.0,118300.0,2025-09-17 20:17:35
329180,HD현대중공업,7,0,A+,51.0,506000.0,2025-09-17 20:17:35
005380,현대차,10,0,A+,42.75,216000.0,2025-09-17 20:17:35
000270,기아,12,0,A+,52.71,101000.0,2025-09-17 20:17:35
068270,셀트리온,6,0,A+,49.99,168400.0,2025-09-17 20:17:35
034020,두산에너빌리티,11,0,A+,45.14,61300.0,2025-09-17 20:17:35
035420,NAVER,0,0,A,30.59,233500.0,2025-09-17 20:17:35
055550,신한지주,29,0,A+,41.75,69700.0,2025-09-17 20:17:35
042660,한화오션,24,0,A+,49.49,113000.0,2025-09-17 20:17:35
028260,삼성물산,8,0,A+,46.21,193000.0,2025-09-17 20:17:35
032830,삼성생명,3,0,A+,44.0,155200.0,2025-09-17 20:17:35
009540,HD한국조선해양,3,0,A+,51.39,416000.0,2025-09-17 20:17:35
012330,현대모비스,21,0,A+,51.6,311000.0,2025-09-17 20:17:35
035720,카카오,31,0,A+,43.56,62500.0,2025-09-17 20:17:35
402340,SK스퀘어,3,0,A+,58.0,200500.0,2025-09-17 20:17:35
