symbol,name,opinion_count,quality_score,enhanced_grade,enhanced_score,current_price,analysis_timestamp
005930,삼성전자,4,0,B+,28.0,78200.0,2025-09-17 19:39:51
000660,SK하이닉스,3,0,A+,41.980000000000004,333500.0,2025-09-17 19:39:51
373220,LG에너지솔루션,4,0,C,11.48,350000.0,2025-09-17 19:39:51
207940,삼성바이오로직스,3,0,A+,35.019999999999996,1020000.0,2025-09-17 19:39:51
012450,한화에어로스페이스,19,0,B,23.0,1030000.0,2025-09-17 19:39:51
105560,KB금융,25,0,C+,17.0,118300.0,2025-09-17 19:39:51
329180,HD현대중공업,7,0,B+,26.0,506000.0,2025-09-17 19:39:51
005380,현대차,10,0,C+,19.0,216000.0,2025-09-17 19:39:51
000270,기아,12,0,B+,29.02,101000.0,2025-09-17 19:39:51
068270,셀트리온,6,0,B,24.990000000000002,168400.0,2025-09-17 19:39:51
034020,두산에너빌리티,11,0,C,13.48,61300.0,2025-09-17 19:39:51
035420,NAVER,19,0,B+,29.96,233500.0,2025-09-17 19:39:51
055550,신한지주,29,0,C+,18.0,69700.0,2025-09-17 19:39:51
042660,한화오션,24,0,B+,26.990000000000002,113000.0,2025-09-17 19:39:51
028260,삼성물산,8,0,B,20.02,193000.0,2025-09-17 19:39:51
032830,삼성생명,3,0,C+,19.0,155200.0,2025-09-17 19:39:51
009540,HD한국조선해양,3,0,B+,25.48,416000.0,2025-09-17 19:39:51
012330,현대모비스,21,0,B+,25.97,311000.0,2025-09-17 19:39:51
035720,카카오,31,0,C+,17.990000000000002,62500.0,2025-09-17 19:39:51
402340,SK스퀘어,3,0,A,33.0,200500.0,2025-09-17 19:39:51
